0,8
0,42
0,78
0,87
1,7
1,30
1,40
1,46
1,90
2,7
2,9
2,73
2,91
3,11
3,13
3,31
3,43
3,92
4,18
4,21
4,46
4,57
4,64
4,83
4,84
5,13
5,30
5,43
5,50
5,61
5,81
5,94
6,26
6,36
6,53
6,86
7,8
7,22
7,39
7,44
7,45
7,53
7,69
8,42
8,44
8,62
8,66
8,80
9,36
9,45
9,76
10,25
10,27
10,52
10,86
10,96
11,26
11,59
11,66
12,32
12,53
13,16
13,26
13,67
13,70
13,74
14,23
14,46
14,66
14,83
14,86
15,17
15,39
15,85
16,39
16,42
16,45
16,46
16,67
16,72
16,89
17,48
17,64
17,79
17,99
18,32
18,37
18,38
18,87
18,99
19,75
19,94
20,30
20,44
20,46
20,53
20,60
20,74
20,84
20,92
21,45
21,51
21,57
21,72
21,94
22,52
22,53
22,56
22,78
22,79
22,81
23,61
23,69
23,99
24,25
24,44
24,50
24,67
25,31
25,39
25,76
25,81
25,95
25,96
26,35
26,47
26,75
26,88
26,95
27,28
27,96
28,32
28,57
28,96
29,32
29,79
29,95
30,41
30,57
30,63
31,78
32,46
32,55
33,82
33,85
33,88
34,40
34,54
34,67
34,78
36,39
36,62
36,66
36,69
37,48
37,75
37,88
38,61
38,73
39,52
39,63
39,75
39,88
39,93
40,52
40,64
40,70
40,92
41,54
41,62
41,70
41,83
41,95
42,67
42,70
42,79
44,57
44,63
44,88
44,96
45,60
45,80
46,66
46,68
46,69
46,86
47,64
47,90
48,50
48,94
49,62
49,78
49,94
50,69
50,97
51,58
51,87
52,95
53,58
53,79
53,80
54,81
55,63
55,74
55,86
55,92
56,58
56,93
57,91
59,75
59,80
60,92
61,73
61,76
63,70
63,91
65,80
66,71
66,90
66,93
66,95
66,97
67,77
67,98
68,92
69,85
69,92
69,94
69,96
72,75
73,88
74,94
76,87
76,99
78,90
80,93
81,97
84,86
84,88
86,96
87,99
88,89
88,98
90,98
93,96
93,99
